wealth_tier,education_tier,residence,caste_group,barrier_type,N,suppress_flag,mean_observed_rate,mean_predicted_prob,data_rail_observed,data_rail_predicted
Middle,Secondary,Rural,Other Caste,Health Facility Barrier,55693,False,0.457167,0.496639,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,Tribe,Household Barrier,9123,False,0.285542,0.504339,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,Tribe,Logistical Barrier,9123,False,0.343199,0.525053,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Rural,Tribe,Health Facility Barrier,9123,False,0.453469,0.493278,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Urban,Don't Know,Household Barrier,135,False,0.266667,0.439705,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Urban,Don't Know,Logistical Barrier,135,False,0.207407,0.369779,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Urban,Don't Know,Health Facility Barrier,135,False,0.214815,0.364285,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Urban,No Caste/Tribe,Household Barrier,1154,False,0.279029,0.496695,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Urban,No Caste/Tribe,Logistical Barrier,1154,False,0.233102,0.386284,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Urban,No Caste/Tribe,Health Facility Barrier,1154,False,0.467938,0.497157,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Urban,Other Caste,Household Barrier,13046,False,0.251111,0.468757,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Urban,Other Caste,Logistical Barrier,13046,False,0.222214,0.381051,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Urban,Other Caste,Health Facility Barrier,13046,False,0.41622,0.455094,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Urban,Tribe,Household Barrier,2680,False,0.207836,0.410426,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Urban,Tribe,Logistical Barrier,2680,False,0.214925,0.354534,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Middle,Secondary,Urban,Tribe,Health Facility Barrier,2680,False,0.390672,0.411491,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Rural,Don't Know,Household Barrier,28,True,,,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Rural,Don't Know,Logistical Barrier,28,True,,,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Rural,Don't Know,Health Facility Barrier,28,True,,,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Rural,No Caste/Tribe,Household Barrier,447,False,0.315436,0.542755,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Rural,No Caste/Tribe,Logistical Barrier,447,False,0.407159,0.577974,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Rural,No Caste/Tribe,Health Facility Barrier,447,False,0.548098,0.578814,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Rural,Other Caste,Household Barrier,8766,False,0.265914,0.485752,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Rural,Other Caste,Logistical Barrier,8766,False,0.344285,0.526922,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Rural,Other Caste,Health Facility Barrier,8766,False,0.476386,0.516687,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Rural,Tribe,Household Barrier,2300,False,0.322609,0.557359,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Rural,Tribe,Logistical Barrier,2300,False,0.436522,0.622187,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Rural,Tribe,Health Facility Barrier,2300,False,0.543043,0.581828,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Urban,Don't Know,Household Barrier,5,True,,,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Urban,Don't Know,Logistical Barrier,5,True,,,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Urban,Don't Know,Health Facility Barrier,5,True,,,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Urban,No Caste/Tribe,Household Barrier,44,False,0.318182,0.509957,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Urban,No Caste/Tribe,Logistical Barrier,44,False,0.136364,0.373702,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
Poor,Higher,Urban,No Caste/Tribe,Health Facility Barrier,44,False,0.386364,0.487163,Rail A — Observed Rate (NFHS-5),Rail B — BarrierLens AI Predicted Probability
